operator,n_transitions,mean_delta_norm,mean_resonance_change,mean_delta_d_semantisch,polaritaet_change_rate,dominanz_change_rate,mean_delta_by_dimension
hoechst,3,1.6192565948463675,0.16509695621059187,-0.7515402919744999,0.0,0.3333333333333333,"{'kognition': -0.7456741461791633, 'sozial': 0.5671569617888453, 'affektiv': 0.3913772976244467, 'motivation': 0.07645511947913997, 'methodik': -0.7792832550989868, 'performanz': -0.3311344657506999, 'regulation': -0.8077777812240033}"
eher,18,1.595850154552368,0.05809029246743516,-0.07126926224328502,0.0,0.7777777777777778,"{'kognition': -0.20628436682048726, 'sozial': -0.2108491143207325, 'affektiv': -0.10606132164005344, 'motivation': 0.023427576559059415, 'methodik': 0.08382801938113281, 'performanz': -0.13334819599827447, 'regulation': 0.21270420801080664}"
deutlich,39,1.5613145062483536,0.07103850619314518,0.4052770687904001,0.05128205128205128,0.5384615384615384,"{'kognition': 0.3245313965316679, 'sozial': -0.08265497863121297, 'affektiv': 0.0987222096556559, 'motivation': -0.08134223543319104, 'methodik': 0.2454184896124085, 'performanz': 0.21328575431801716, 'regulation': 0.0662771002646154}"
teilweise,50,1.5388526607465784,0.09624091743932674,-0.0733789646256798,0.02,0.64,"{'kognition': 0.17262278050169544, 'sozial': 0.05953500906620862, 'affektiv': 0.07849775584378932, 'motivation': -0.019307905658285628, 'methodik': 0.0663620588084028, 'performanz': -0.006235061412611205, 'regulation': -0.08879786346988061}"
besonders,19,1.4958521730294925,0.06059329543683112,0.3958802834791369,0.0,0.47368421052631576,"{'kognition': 0.24302560066980422, 'sozial': -0.015475214995532683, 'affektiv': -0.29904110583673943, 'motivation': 0.17363428192622787, 'methodik': 0.1286702300124595, 'performanz': 0.1203984861031568, 'regulation': 0.38959215286330323}"
vereinzelt,27,1.3833989520966115,0.08804877065845014,0.049953291082078105,0.0,0.37037037037037035,"{'kognition': 0.18914581457181925, 'sozial': -0.23396986793731542, 'affektiv': -0.17064690898057028, 'motivation': -0.0923603295370974, 'methodik': 0.0719685062357018, 'performanz': -0.03288245653434106, 'regulation': -0.003052289216581471}"
weitgehend,44,1.3707047397455254,0.05952161885816392,0.43804472358951957,0.0,0.5454545454545454,"{'kognition': 0.4497353943249149, 'sozial': 0.02603165292759908, 'affektiv': 0.03616510939948844, 'motivation': 0.16177418529241802, 'methodik': 0.21481510343526802, 'performanz': 0.12007533466239993, 'regulation': 0.04807115702685025}"
sporadisch,14,1.2943545479643548,0.04296995040548284,0.5672410758325428,0.0,0.6428571428571429,"{'kognition': 0.07915471403751438, 'sozial': 0.01535544386346953, 'affektiv': -0.18558212628359066, 'motivation': 0.45035288948940355, 'methodik': 0.23206989661413638, 'performanz': 0.22648550981393573, 'regulation': 0.5812040951407321}"
kaum,2,1.235109384351,0.11560437990776506,-0.29068657813880017,0.0,1.0,"{'kognition': -0.5512973418463, 'sozial': 0.557291401305254, 'affektiv': -0.32402848921538996, 'motivation': 0.48044492522929505, 'methodik': -0.35418070239925004, 'performanz': -0.2708648595516, 'regulation': 0.3535617477303001}"
leicht,8,1.0904436751202096,0.04239714533543498,-0.09209971637042491,0.0,1.0,"{'kognition': -0.3942528614313375, 'sozial': -0.05280816582020877, 'affektiv': 0.1871885789889835, 'motivation': 0.09885759428609249, 'methodik': -0.28436044994501253, 'performanz': 0.3306138191866749, 'regulation': 0.13036482149374376}"
